192.168.1.100 - - [11/Jan/2026:14:23:40 +0545] "GET /admin/login.php HTTP/1.1" 200 1234 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (HTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
192.168.1.100 - - [11/Jan/2026:14:23:41 +0545] "POST /admin/auth HTTP/1.1" 200 567 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (HTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
10.0.0.50 - - [11/Jan/2026:14:26:01 +0545] "GET /wp-admin.php HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:02 +0545] "GET /phpmyadmin/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:03 +0545] "GET /db/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:04 +0545] "GET /sql/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:05 +0545] "GET /backup/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:06 +0545] "GET /config.php HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:07 +0545] "GET /.env HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:08 +0545] "GET /admin/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:09 +0545] "GET /login/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:10 +0545] "GET /signin/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:11 +0545] "GET /console/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
10.0.0.50 - - [11/Jan/2026:14:26:12 +0545] "GET /webmin/ HTTP/1.1" 404 235 "-" "Mozilla/5.0"
203.0.113.88 - - [11/Jan/2026:14:40:01 +0545] "GET /test.php HTTP/1.1" 200 100 "-" "sqlmap/1.5.2#stable (http://sqlmap.org)"
203.0.113.88 - - [11/Jan/2026:14:40:02 +0545] "GET /test.php?id=1' HTTP/1.1" 200 105 "-" "sqlmap/1.5.2#stable (http://sqlmap.org)"
203.0.113.88 - - [11/Jan/2026:14:40:03 +0545] "GET /test.php?id=1 OR 1=1 HTTP/1.1" 200 1500 "-" "sqlmap/1.5.2#stable (http://sqlmap.org)"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
192.168.1.150 - - [11/Jan/2026:15:05:01 +0545] "GET /api/v1/data HTTP/1.1" 200 500 "-" "Python-requests/2.25.1"
